Artamus cinereus_hmyziar škraboškový
Artamus cyanopterus_hmyziar modrokrídly
Artamus fuscus_hmyziar sivý
Artamus leucorynchus_hmyziar bielobruchý
Artamus maximus_hmyziar veľký
Artamus personatus_hmyziar čiernohrdlý
Artamus superciliosus_hmyziar kočovný
Artemisiospiza belli_strnádlik Bellov
Artemisiospiza nevadensis_strnádlik behavý
Artisornis metopias_penička červenohlavá
Artisornis moreaui_penička dlhozobá
Arundinax aedon_Thick-billed Warbler
Arundinicola leucocephala_pamuchár bielohlavý
Asemospiza fuliginosa_Sooty Grassquit
Asemospiza obscura_Dull-colored Grassquit
Asio clamator_Striped Owl
Asio flammeus_myšiarka močiarna
Asio otus_myšiarka ušatá
Asio stygius_myšiarka tmavá
Aspatha gularis_momot modrohrdlý
Asthenes anthoides_košikárik ľabtuškovitý
Asthenes arequipae_košikárik tmavokrídly
Asthenes baeri_košikárik krátkozobý
Asthenes coryi_košikárik venezuelský
Asthenes dorbignyi_košikárik svetloprsý
Asthenes flammulata_košikárik čiarkovaný
Asthenes fuliginosa_košikárik bielobradý
Asthenes griseomurina_košikárik myšací
Asthenes harterti_košikárik čiernohrdlý
Asthenes helleri_košikárik Hellerov
Asthenes heterura_košikárik horský
Asthenes huancavelicae_košikárik bledochvostý
Asthenes hudsoni_košikárik škvrnitý
Asthenes maculicauda_košikárik jarabochvostý
Asthenes modesta_košikárik kordillersky
Asthenes moreirae_košikárik dlhochvostý
Asthenes ottonis_košikárik hrdzavočelý
Asthenes palpebralis_košikárik okuliarnatý
Asthenes perijana_košikárik perijský
Asthenes pudibunda_košikárik kaňonový
Asthenes pyrrholeuca_košikárik ostrozobý
Asthenes sclateri_košikárik hnedokrídly
Asthenes urubambensis_košikárik machový
Asthenes virgata_košikárik junínsky
Asthenes wyatti_košikárik behavý
Atalotriccus pilaris_muchárčik žltooký
Atelornis crossleyi_krakľovec hrdzavohlavý
Atelornis pittoides_krakľovec bielohrdlý
Athene blewitti_Forest Owlet
Athene brama_kuvik škvrnitý
Athene cunicularia_kuvik zemný
Athene noctua_kuvik obyčajný
Athene superciliaris_White-browed Owl
Atimastillas flavicollis_afrobyl hájový
Atlapetes albinucha_strnádlik bielotylový
Atlapetes albofrenatus_strnádlik bielofúzy
Atlapetes crassus_strnádlik trojfarebný
Atlapetes flaviceps_strnádlik žltohlavý
Atlapetes fulviceps_strnádlik zelenkavý
Atlapetes fuscoolivaceus_strnádlik tmavohlavý
Atlapetes latinuchus_strnádlik hrdzavotylový
Atlapetes leucopis_strnádlik okuliarnatý
Atlapetes leucopterus_strnádlik bielokrídly
Atlapetes melanocephalus_strnádlik sivosluchý
Atlapetes melanolaemus_strnádlik čiernolíci
Atlapetes pallidiceps_strnádlik svetlohlavý
Atlapetes pallidinucha_strnádlik bledotylový
Atlapetes personatus_strnádlik kapucňový
Atlapetes pileatus_strnádlik hrdzavohlavý
Atlapetes rufigenis_strnádlik hrdzavosluchý
Atlapetes rufinucha_strnádlik bolívijský
Atlapetes schistaceus_strnádlik bridlicový
Atlapetes seebohmi_strnádlik peruánsky
Atlapetes semirufus_strnádlik okrovoprsý
