Arachnothera longirostra_小捕蛛鳥
Arachnothera magna_紋背捕蛛鳥
Aramides albiventris_Russet-naped Wood-Rail
Aramides axillaris_棕頸林秧雞
Aramides cajanea_灰頸林秧雞
Aramides saracura_灰胸林秧雞
Aramides wolfi_褐林秧雞
Aramides ypecaha_大林秧雞
Aramus guarauna_秧鶴
Aratinga auricapillus_金帽鸚哥
Aratinga jandaya_绿翅金鹦哥
Aratinga nenday_黑头鹦哥
Aratinga weddellii_暗头鹦哥
Arborophila ardens_海南山鷓鴣
Arborophila atrogularis_白頰山鷓鴣
Arborophila campbelli_砍氏山鹧鸪
Arborophila chloropus_绿脚山鹧鸪
Arborophila crudigularis_臺灣山鷓鴣
Arborophila hyperythra_赤胸山鷓鴣
Arborophila javanica_棕胸山鷓鴣
Arborophila orientalis_灰胸山鷓鴣
Arborophila rufogularis_紅喉山鷓鴣
Arborophila torqueola_环颈山鹧鸪
Arcanator orostruthus_斑喉鴝
Archilochus alexandri_黑頦北蜂鳥
Archilochus colubris_紅玉喉北蜂鳥
Ardea alba_Great Egret
Ardea cinerea_苍鹭
Ardea cocoi_黑冠白頸鷺
Ardea herodias_大蓝鹭
Ardea intermedia_中白鷺
Ardea purpurea_紫鷺〔草鷺〕
Ardenna creatopus_粉脚鹱
Ardenna grisea_灰水薙鳥〔灰鸌，煙黑鸌〕
Ardenna pacifica_楔尾鹱
Ardeola bacchus_池鷺〔亞洲池鷺〕
Ardeola grayii_印度池鷺
Ardeola ralloides_白翅黄池鹭
Arenaria interpres_翻石鷸
Arenaria melanocephala_黑翻石鷸
Argusianus argus_大眼斑雉
Arizelocichla chlorigula_黃喉鋸嘴鵯
Arremon abeillei_黑頂金肩雀
Arremon assimilis_灰眉薮雀
Arremon atricapillus_黑头薮雀
Arremon aurantiirostris_橙嘴金肩雀
Arremon basilicus_内华达薮雀
Arremon brunneinucha_栗頂藪雀
Arremon castaneiceps_栗头绿雀
Arremon costaricensis_哥斯达黎加薮雀
Arremon crassirostris_乌脸雀
Arremon flavirostris_橙黃嘴金肩雀
Arremon franciscanus_旧金山金肩雀
Arremon schlegeli_金翅金肩雀
Arremon semitorquatus_半領金肩雀
Arremon taciturnus_白眉金肩雀
Arremon torquatus_紋頭藪雀
Arremon virenticeps_綠斑藪雀
Arremonops chloronotus_綠背紋頭雀
Arremonops conirostris_大黑紋頭雀
Arremonops rufivirgatus_褐紋頭雀
Arremonops tocuyensis_小黑紋頭雀
Arses telescopthalmus_飾邊皺鶲
Artamus cinereus_黑脸燕鵙
Artamus cyanopterus_暗燕鵙
Artamus fuscus_灰燕鵙
Artamus leucorynchus_白胸燕鵙
Artamus maximus_大燕鵙
