Anisognathus lacrymosus_tangara slzavá
Anisognathus notabilis_tangara skalní
Anisognathus somptuosus_tangara jižní
Anodorhynchus hyacinthinus_ara hyacintový
Anodorhynchus leari_ara kobaltový
Anorrhinus galeritus_zoborožec chocholatý
Anorrhinus tickelli_zoborožec hnědý
Anous minutus_nody bělotemenný
Anous stolidus_nody obecný
Anser albifrons_husa běločelá
Anser anser_husa velká
Anser brachyrhynchus_husa krátkozobá
Anser caerulescens_husa sněžní
Anser canagicus_husa císařská
Anser cygnoides_husa labutí
Anser erythropus_husa malá
Anser fabalis_husa polní
Anser indicus_husa indická
Anser rossii_husa bělostná
Anser serrirostris_Tundra Bean-Goose
Anseranas semipalmata_husovec strakatý
Anthipes monileger_lejsek bělolímečkový
Anthipes solitaris_lejsek rezavobrýlatý
Anthochaera carunculata_Red Wattlebird
Anthochaera chrysoptera_laločnatka malá
Anthochaera lunulata_laločnatka stříbrovousá
Anthochaera paradoxa_laločnatka tasmánská
Anthornis melanura_medosavka novozélandská
Anthoscopus minutus_moudivláček kapský
Anthoscopus musculus_moudivláček šedavý
Anthracoceros albirostris_zoborožec bělolící
Anthracoceros coronatus_zoborožec malabarský
Anthracoceros malayanus_zoborožec malajský
Anthracothorax dominicus_kolibřík antilský
Anthracothorax nigricollis_kolibřík tropický
Anthracothorax prevostii_kolibřík lesklý
Anthreptes malacensis_strdimil hnědolící
Anthreptes orientalis_strdimil vlaštovčí
Anthreptes simplex_strdimil šedozelený
Anthropoides paradiseus_Blue Crane
Anthropoides virgo_Demoiselle Crane
Anthus antarcticus_linduška jižní
Anthus berthelotii_linduška kanárská
Anthus bogotensis_linduška andská
Anthus brevirostris_Puna Pipit
Anthus campestris_linduška úhorní
Anthus cervinus_linduška rudokrká
Anthus chacoensis_linduška paraguajská
Anthus cinnamomeus_linduška pastvinná
Anthus correndera_linduška jihoamerická
Anthus crenatus_linduška jihoafrická
Anthus furcatus_linduška krátkozobá
Anthus godlewskii_linduška mongolská
Anthus gustavi_linduška sibiřská
Anthus hellmayri_linduška čárkovaná
Anthus hodgsoni_linduška zelená
Anthus leucophrys_linduška hnědohřbetá
Anthus lineiventris_linduška proužkovaná
Anthus lutescens_linduška savanová
Anthus nattereri_linduška okrovoprsá
Anthus novaeseelandiae_linduška zabajkalská
Anthus peruvianus_Peruvian Pipit
Anthus petrosus_linduška skalní
Anthus pratensis_linduška luční
Anthus richardi_linduška velká
Anthus roseatus_linduška růžová
Anthus rubescens_linduška proměnlivá
Anthus rufulus_linduška rýžová
Anthus similis_linduška dlouhozobá
Anthus spinoletta_linduška horská
Anthus spragueii_linduška prérijní
Anthus sylvanus_linduška himálajská
Anthus trivialis_linduška lesní
Antigone antigone_Sarus Crane
Antigone canadensis_Sandhill Crane
Antigone rubicunda_Brolga
Antigone vipio_White-naped Crane
Antilophia bokermanni_pipulka Bokermannova
Antilophia galeata_pipulka přílbová
Antrostomus arizonae_Mexican Whip-poor-will
Antrostomus badius_lelek yukatanský
Antrostomus carolinensis_lelek karolinský
Antrostomus noctitherus_lelek portorický
Antrostomus ridgwayi_lelek Ridgwayův
Antrostomus rufus_lelek červenavý
Antrostomus saturatus_lelek šerý
Antrostomus sericocaudatus_lelek hedvábný
Antrostomus vociferus_lelek křiklavý
Anumara forbesi_vlhovec tropický
Anumbius annumbi_hrnčiřík sběrač
Anurolimnas castaneiceps_chřástal rezavohlavý
Anurolimnas fasciatus_Black-banded Crake
Anurolimnas viridis_Russet-crowned Crake
Apalis chapini_prinie kaštanovoprsá
Apalis cinerea_prinie středoafrická
Apalis flavida_prinie žlutoprsá
Apalis melanocephala_prinie černohlavá
Apalis personata_prinie ugandská
Apalis porphyrolaema_prinie horská
Apalis ruddi_prinie šedohlavá
Apalis rufogularis_prinie ostrohlasá
Apalis sharpii_prinie tmavošedá
Apalis thoracica_prinie světleoká
Apaloderma narina_trogon uzdičkový
Apaloderma vittatum_trogon horský
Aphanotriccus audax_tyranovec černozobý
Aphanotriccus capitalis_tyranovec středoamerický
Aphantochroa cirrochloris_kolibřík temný
Aphelocephala leucopsis_střízlíkovec tlustozobý
Aphelocoma californica_sojka západní
Aphelocoma coerulescens_sojka křovinná
Aphelocoma insularis_sojka ostrovní
Aphelocoma ultramarina_sojka mexická
Aphelocoma unicolor_sojka jednobarvá
Aphelocoma wollweberi_Mexican Jay
Aphelocoma woodhouseii_Woodhouse's Scrub-Jay
Aphrastura spinicauda_hrnčiřík ostnoocasý
Aplonis atrifusca_špaček samojský
Aplonis cantoroides_špaček zpěvný
Aplonis grandis_špaček šalomounský
Aplonis metallica_špaček lesklý
Aplonis mysolensis_špaček molucký
Aplonis opaca_špaček mikronéský
Aplonis panayensis_špaček rudooký
Aplonis tabuensis_špaček polynéský
Aprositornis disjuncta_Yapacana Antbird
Aprosmictus erythropterus_papoušek červenokřídlý
Aptenodytes patagonicus_tučňák patagonský
Apteryx mantelli_kivi hnědý
Apus affinis_Little Swift
Apus apus_rorýs obecný
Apus caffer_rorýs bělokostřecový
Apus melba_Rorýs velký
Apus nipalensis_rorýs indočínský
Apus pacificus_rorýs východoasijský
Apus pallidus_rorýs šedohnědý
Apus unicolor_rorýs jednobarvý
Aquila adalberti_orel iberský
Aquila chrysaetos_orel skalní
Ara ararauna_ara ararauna
Ara chloropterus_ara zelenokřídlý
Ara macao_ara arakanga
Ara militaris_ara vojenský
Ara severus_ara malý
Arachnothera everetti_strdimil bornejský
Arachnothera flavigaster_strdimil brýlový
Arachnothera longirostra_strdimil bělavohrdlý
Arachnothera magna_strdimil proužkovaný
Aramides albiventris_Russet-naped Wood-Rail
Aramides axillaris_chřástal rezavokrký
Aramides cajanea_chřástal guyanský
Aramides saracura_chřástal sarakura
Aramides wolfi_chřástal Wolfův
Aramides ypecaha_chřástal ypecaha
Aramus guarauna_kurlan chřástalovitý
Aratinga auricapillus_aratinga zlatohlavý
Aratinga jandaya_aratinga jandaj
Aratinga nenday_nandej černohlavý
Aratinga weddellii_aratinga tmavohlavý
Arborophila ardens_koroptev hainanská
Arborophila atrogularis_koroptev bělolící
Arborophila campbelli_Malaysian Partridge
Arborophila chloropus_koroptev zelenonohá
Arborophila crudigularis_koroptev tchaiwanská
Arborophila hyperythra_koroptev bornejská
Arborophila javanica_koroptev jávská
Arborophila orientalis_koroptev sumaterská
Arborophila rufogularis_koroptev oranžovohrdlá
Arborophila torqueola_koroptev rudohlavá
Arcanator orostruthus_sojčík proužkobřichý
Archilochus alexandri_kolibřík černobradý
Archilochus colubris_kolibřík rubínohrdlý
Ardea alba_Great Egret
Ardea cinerea_volavka popelavá
Ardea cocoi_volavka jihoamerická
Ardea herodias_volavka velká
Ardea intermedia_volavka prostřední
Ardea purpurea_volavka červená
Ardenna creatopus_buřňák růžovonohý
Ardenna grisea_buřňák temný
Ardenna pacifica_buřňák klínoocasý
Ardeola bacchus_volavka čínská
Ardeola grayii_volavka hnědohřbetá
Ardeola ralloides_volavka vlasatá
Arenaria interpres_kamenáček pestrý
Arenaria melanocephala_kamenáček černohlavý
Argusianus argus_argus okatý
Arizelocichla chlorigula_Yellow-throated Mountain Greenbul
Arremon abeillei_habije černotemenná
Arremon assimilis_Gray-browed Brushfinch
Arremon atricapillus_pipilo černočapkový
Arremon aurantiirostris_habije oranžovozobá
Arremon basilicus_Sierra Nevada Brushfinch
Arremon brunneinucha_pipilo kaštanovotýlý
Arremon castaneiceps_strnádek olivový
Arremon costaricensis_Costa Rican Brushfinch
Arremon crassirostris_strnádek tlustozobý
Arremon flavirostris_habije šafránová
Arremon franciscanus_habije bahijská
Arremon schlegeli_habije zlatoramenná
Arremon semitorquatus_habije brazilská
Arremon taciturnus_habije pruhoprsá
Arremon torquatus_pipilo pruhohlavý
Arremon virenticeps_pipilo zelenopruhý
Arremonops chloronotus_habije zelenohřbetá
Arremonops conirostris_habije černopásá
Arremonops rufivirgatus_habije olivová
Arremonops tocuyensis_habije tokuánská
Arses telescopthalmus_muchálek ozdobný
Artamus cinereus_lasolet černolící
Artamus cyanopterus_lasolet lesní
Artamus fuscus_lasolet šedohlavý
Artamus leucorynchus_lasolet bělobřichý
Artamus maximus_lasolet horský
Artamus personatus_lasolet škraboškový
Artamus superciliosus_lasolet bělobrvý
Artemisiospiza belli_strnádka pelyňková
Artemisiospiza nevadensis_Sagebrush Sparrow
Artisornis metopias_krejčiřík tanzanský
Artisornis moreaui_krejčiřík mozambický
Arundinax aedon_Thick-billed Warbler
Arundinicola leucocephala_tyranovec bělohlavý
Asemospiza fuliginosa_Sooty Grassquit
Asemospiza obscura_Dull-colored Grassquit
Asio clamator_Striped Owl
Asio flammeus_kalous pustovka
Asio otus_kalous ušatý
Asio stygius_kalous americký
Aspatha gularis_momot modrohrdlý
Asthenes anthoides_hrnčiřík linduškovitý
Asthenes arequipae_hrnčiřík tmavokřídlý
Asthenes baeri_hrnčiřík Baerův
Asthenes coryi_ostrochvostka okrovobrvá
Asthenes dorbignyi_hrnčiřík d´Orbignyův
Asthenes flammulata_hrnčiřík paramový
Asthenes fuliginosa_ostrochvostka bělobradá
Asthenes griseomurina_ostrochvostka myší
Asthenes harterti_ostrochvostka černohrdlá
Asthenes helleri_ostrochvostka punská
Asthenes heterura_hrnčiřík lapazský
Asthenes huancavelicae_hrnčiřík bledoocasý
Asthenes hudsoni_hrnčiřík pampový
Asthenes maculicauda_hrnčiřík čárkoocasý
Asthenes modesta_hrnčiřík kordillerský
Asthenes moreirae_ostrochvostka riodejaneirská
Asthenes ottonis_hrnčiřík rezavočelý
Asthenes palpebralis_ostrochvostka kruhooká
Asthenes perijana_ostrochvostka perijská
Asthenes pudibunda_hrnčiřík roklinový
Asthenes pyrrholeuca_hrnčiřík ostrozobý
Asthenes sclateri_hrnčiřík punový
Asthenes urubambensis_hrnčiřík velehorský
Asthenes virgata_hrnčiřík juninský
Asthenes wyatti_hrnčiřík andský
Atalotriccus pilaris_tyránek světleoký
Atelornis crossleyi_kurolec Crossleyův
Atelornis pittoides_kurolec pitovitý
Athene blewitti_Forest Owlet
Athene brama_sýček brahmínský
Athene cunicularia_sýček králičí
Athene noctua_sýček obecný
Athene superciliaris_White-browed Owl
Atimastillas flavicollis_bulbul žlutohrdlý
Atlapetes albinucha_strnádek bělošíjný
Atlapetes albofrenatus_strnádek bělovousý
Atlapetes crassus_Choco Brushfinch
Atlapetes flaviceps_strnádek kolumbijský
Atlapetes fulviceps_strnádek žlutovousý
Atlapetes fuscoolivaceus_strnádek hnědoolivový
Atlapetes latinuchus_Yellow-breasted Brushfinch
Atlapetes leucopis_strnádek obroučkový
Atlapetes leucopterus_strnádek běloskvrnný
Atlapetes melanocephalus_strnádek černohlavý
Atlapetes melanolaemus_Black-faced Brushfinch
Atlapetes pallidiceps_strnádek bledý
Atlapetes pallidinucha_strnádek šedotýlý
Atlapetes personatus_strnádek hnědohlavý
Atlapetes pileatus_strnádek čepičatý
Atlapetes rufigenis_strnádek rezavohlavý
Atlapetes rufinucha_strnádek rezavotýlý
Atlapetes schistaceus_strnádek šedočerný
Atlapetes seebohmi_strnádek ekvádorský
Atlapetes semirufus_strnádek hnědovousý
Atlapetes tibialis_Yellow-thighed Brushfinch
Atlapetes tricolor_strnádek tříbarvý
Atrichornis clamosus_křováček zvučný
Atrichornis rufescens_křováček rezavý
Attagis gayi_písečník rezavý
Atthis ellioti_kolibřík vínohrdlý
Atthis heloisa_kolibřík čmelákový
Atticora fasciata_vlaštovka bělopruhá
Atticora pileata_Black-capped Swallow
Atticora tibialis_White-thighed Swallow
Attila bolivianus_atila bělooký
Attila cinnamomeus_atila skořicový
Attila citriniventris_atila žlutobřichý
Attila phoenicurus_atila menší
Attila rufus_atila šedohlavý
Attila spadiceus_atila proměnlivý
Attila torridus_atila okrový
Augastes lumachella_kolibřík krajkový
Augastes scutatus_kolibřík čabrakový
Aulacorhynchus albivitta_Southern Emerald-Toucanet
Aulacorhynchus atrogularis_Black-throated Toucanet
Aulacorhynchus caeruleogularis_Blue-throated Toucanet
Aulacorhynchus coeruleicinctis_arassari modropruhý
Aulacorhynchus derbianus_arassari bledohrdlý
Aulacorhynchus haematopygus_arassari rudokostřecový
Aulacorhynchus prasinus_arassari smaragdový
Aulacorhynchus sulcatus_arassari modrolící
Auriparus flaviceps_moudivláček žlutohlavý
Automolus exsertus_Chiriqui Foliage-gleaner
Automolus infuscatus_hrnčiřík olivovohřbetý
Automolus lammi_Pernambuco Foliage-gleaner
Automolus leucophthalmus_hrnčiřík bělooký
Automolus melanopezus_hrnčiřík skrývavý
Automolus ochrolaemus_hrnčiřík plavohrdlý
Automolus paraensis_Para Foliage-gleaner
Automolus rufipileatus_hrnčiřík rezavotemenný
Automolus subulatus_Striped Woodhaunter
Automolus virgatus_Western Woodhaunter
Aviceda subcristata_luňákovec lesní
Aythya americana_polák americký
Aythya collaris_polák proužkozobý
Aythya ferina_polák velký
Aythya fuligula_polák chocholačka
Aythya marila_polák kaholka
Aythya nyroca_polák malý
Aythya valisineria_polák dlouhozobý
Baeolophus atricristatus_Black-crested Titmouse
Baeolophus bicolor_sýkora rezavoboká
Baeolophus inornatus_sýkora šedohnědá
Baeolophus ridgwayi_sýkora jalovcová
Baeolophus wollweberi_sýkora uzdičková
Baeopogon indicator_bulbul medozvěstkový
Balearica regulorum_jeřáb královský
Bambusicola fytchii_kur skvrnitoboký
Bambusicola sonorivox_Taiwan Bamboo-Partridge
Bambusicola thoracicus_kur bambusový
Bangsia aureocincta_tangara zlatokruhá
Bangsia edwardsi_tangara Edwardsova
Bangsia melanochlamys_tangara zlatočerná
Bangsia rothschildi_tangara Rothschildova
Barnardius zonarius_Australian Ringneck
Bartramia longicauda_bartramie dlouhoocasá
Baryphthengus martii_momot skořicový
Baryphthengus ruficapillus_momot rezavohlavý
Basileuterus belli_lesňáček rezavolící
Basileuterus culicivorus_lesňáček podrostní
Basileuterus lachrymosus_lesňáček vějířový
Basileuterus melanogenys_lesňáček černolící
Basileuterus melanotis_Costa Rican Warbler
Basileuterus rufifrons_lesňáček rezavohlavý
Basileuterus trifasciatus_lesňáček třípruhý
Basileuterus tristriatus_lesňáček pruhohlavý
Batara cinerea_mravenčík největší
Bathmocercus rufus_cetie hnědočerná
Batis capensis_lesknáček kapský
Batis crypta_Dark Batis
Batis erlangeri_Western Black-headed Batis
Batis molitor_lesknáček obecný
Batis orientalis_lesknáček šedohlavý
Batis perkeo_lesknáček drobný
Batis pririt_lesknáček savanový
Batrachostomus affinis_Blyth's Frogmouth
Batrachostomus auritus_lelkoun ušatý
Batrachostomus cornutus_lelkoun sundský
